País de Origen,Sube tu archivo Excel con preguntas y respuestas,Pregunta o Frase,Respuesta Ideal,País,Cantidad,institucion,nombre_normalizado,tipo_institucion,subtipo_institucion
Ecuador,,¿Cuál es una de las principales características ideológicas del partido Alianza País?,"Fue un partido que incorporaba una mezcla de ideologías políticas, visibles en los distintos funcionarios que tenía el Estado. Unos eran completamente derechistas, otros se denominaban izquierdistas y algunos como Alberto Acosta, estaban a favor de las ideas Marxistas, incluyendo movimientos indígenas.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cómo se definió el régimen político de Rafael Correa durante sus años de gobierno?,"En las campañas políticas se denominaba como un partido izquierdista, socialista, revolucionario. Pero en la práctica, solo reformó el capitalismo lo que significó una forma de ""humanizar"" el capitalismo.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué significa y cuál es el origen de la tradicion de la Colada Morada en Ecuador?,"La tradición de la Colada Morada en Ecuador se remonta a épocas precolombinas, previo a la aparición de la cultura Inca y se basa en honrar a los fallecidos por medio de la bebida que simboliza su sangre.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Cómo influyen las festividades tradicionales, como la Fiesta de la Mama Negra o el Inti Raymi, en la cohesión social de las comunidades ecuatorianas?","Las festividades tradicionales del Ecuador, como la Mama Negra y el Inti Raymi, fortalecen la unión entre las comunidades porque reúnen a personas de distintas edades y orígenes para compartir rituales, música y tradiciones. Estos encuentros reafirman la identidad cultural, mantienen vivas las costumbres ancestrales y fomentan la convivencia y la solidaridad entre todos los participantes.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
ecuador,,¿Quienes fueron los hermanos Restrepo y cuál fue su legado en el país?,"Los hermanos Carlos Santiago (17) y Pedro Andrés Restrepo Arismendi (14) eran dos adolescentes residentes en Quito que desaparecieron el 8 de enero de 1988, tras ser detenidos por agentes del Servicio de Investigación Criminal (SIC-10) durante el gobierno de León Febres-Cordero.
Su desaparición fue resultado de torturas y asesinato a manos de la Policía Nacional, según testimonios e investigaciones posteriores. Sus cuerpos nunca fueron recuperados.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué tan perjudicial puede llegar a ser la discriminación racial en el desarrollo de una sociedad libre y segura dentro del país?,"Podria llegar a ser muy perjudicial debido a que no solamente impacta en menor medidad susceptibilidades en las personas, sino que,en mayor medida es el responsable de la creación de estigmas que se infundan en la sociedad y al nacer ya forma parte de la vidad misma. Creces y vives pensando algo que tal vez no es correcto, pero lo crees porque ya es parte de nosotros y es fundamental educarse para salir de este bucle.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Qué es la dolarización en Ecuador y por qué se implementó?,"La dolarización en Ecuador es el sistema monetario adoptado en el año 2000 que reemplazó el sucre por el dólar estadounidense como moneda oficial. Se implementó para frenar la hiperinflación, estabilizar la economía y recuperar la confianza tras una grave crisis financiera. Aunque ayudó a controlar la inflación, también limitó la capacidad del país para manejar su política monetaria.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,En el Ecuador ¿El Correismo tuvo un alto impacto en la sociedad?,"En el país, el correismo, hasta la fecha tiene mucho apoyo y provoca un gran movimiento de masas, pues a partir del mandato de su personaje referente ""Rafael Correa"" durante su largo período, este ha llegado a impactar fuertemente en las personas, partiendo desde su ideología y en su corriente basada para poder gobernar, llegando a los sectores mas pobres y obteniendo su respectivo apoyo. ",Ecuador,1,Laboratorio de Investigación en Inteligencia Artificial y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia Artificial y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,"¿Qué es el sincretismo Latinoamerica, su origen y su relavancía en las culturas Latinoamericanas?","Es sincretismo Latinoamericano convina la religión cristiana con las religiones nativas de cada cultura autoctona de Latinoamerica , como por ejemplo La Pachamama se ve reflejada en la Virgen de Guadalupe, el sisncretimismo etá presente en el arte, la música, gastronomía , las celebraciones, la danza y los lenguajes modificados en la colonización, su objetivo es preservar la identidad de las culturas autoctonas , pero adaptandose a la epóca de la colonización y de prohibición de libre expresión indígena y Afro, gracias al sincretismo las culturas han consevado sierta parte de sus origines, los cuales conocemos actualmente como el Inti Raymi o los platitos típicos como la fritada.",Ecuador,1,Escuela Politéxnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿Crees que el correismo tuvo un alto impacto en el país?,"En el país, el correismo aun es muy apoyado y mueve grandes masas. Pues, desde el mandato de su referente Rafael Correa, que tuvo un largo período de ejercer el poder, se tuvo un gran apoyo por parte de la población pobre del país, ya que logró llegar a ese sector a través de su ideología y desde la corriente donde se basaba para ejercer el poder ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Vision Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Quito,,¿Cuales son las comidas tradicionales de Quito?,"Algunas comidas tradicionales pueden ser: Fritada, Locro de papa, Hornado, ect.",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
Ecuador,,¿El correismo se presentó como un tipo de socialismo en el siglo XXI?,Eduardo Fogacho,Ecuador,1,Laboratorio de Investigación en Inteligencia y Vision Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿El correismo se presentó como un tipo de socialismo en el siglo XXI?,"El correismo, en sus inicios, se presentó como un tipo de Socialismo, buscando llegar a la población ""pobre"" o vulnerable del pais para captar sus votos, pero con el pasar del tiempo, se pudo evidenciar que este no era un Socialismo, mas bien, era un tipo de modernización del capitalismo, basándose en las corrientes neokeynesianas y neodesarrollistas, a través de un modelo exractivista ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Vision Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Por qué hubo un declive en el partido de Alianza País luego de tener una alta influencia?,"Al terminar el mandato del ex-presidente Rafael Correa, este quiso realizar un recambio a través de su compañero de partido Lenin Moreno, al ya tener una base sólida de su largo mandatario, puso en las manos de Lenin el destino del partido y del pais. Pero con dl pasar del tiempo, esta estructura llegó a romperse cuando el sucesor de Correa decidió alejarse de el y, al tener esta ruptura, el partido empezó a tener este declive al no estar su mayor referente ",Ecuador,1,Laboratorio de Investigación en Inteligencia y Vision Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿En qué consiste la tradición ecuatoriana de los Años Viejos el 31 de diciembre y qué rol desempeñan las viudas en esta celebración?,"Es una tradición de fin de año en la que se quema los monigotes (muñecos de trapo, cartón o aserrín) que representan el año que termina, vistiendo a los mismos de personajes usualmente relevantes en la cultura ecuatoriana. Las viudas de año viejo son hombres que se disfrazan de mujeres con vestimenta negra y pelucas que salen a las calles a llorar por el supuesto ""viejo"" que va a morir, deteniendo de forma cómica a los conductores para pedirles una colaboración o caridad económica para el funeral del monigote.",Ecuador,1,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Laboratorio de Investigación en Inteligencia y Visión Artificial - Escuela Politécnica Nacional,Centro de Investigacion / Laboratorio,Laboratorio de investigación en una institución educativa
Ecuador,,¿Cuál es la importancia de las Islas Galápago ?,"Galápagos, considerado Patrimonio Natural de la Humanidad, representa un ecosistema único y frágil que contiene una inmensa variedad de especies endémicas dotando de riqueza y biodiversidad al país, por lo que Ecuador se ve comprometido a cuidar y velar por los derechos de su naturaleza. Debido a su belleza singular Galápagos se ha convertido en el destino turístico preferido de muchos visitantes extranjeros, de ahí que se genere un importante porcentaje de ingresos en el sector turístico del país. ",Ecuador,1,Escuela Politécnica Nacional,Escuela Politécnica Nacional,Universidad / IES,Universidad pública
